Date,@BTC_CHANGE_BOT,@CryptoBot,AlfaBit,Excoin,Adb,CryptoMax,Bitcoin24Pro,GlobalBits,FastEx,ChangeProject,AllMoney,КупиБит,МультиВал,CryptoHome,Crypto-Store,GramBit,ExCenter,PremierCash,BTC-Обменник,AllTrustMe,CoinBox,Real-Bit,Nordex,Обменко,100Bitcoins,CoinCat,Coco-Pay,Шахта,Bit-Обменка,BetaTransfer,Global-Ex,PayMarket,CoinChanger,NetEx24,365Cash,Transfer24,Rapid-Obmen,Papa-Change,1Обмен,LasloBit,F-Change,CleanBTC,4Money,24Zone,1-Online,24Обмен,ExchangeYourMoney,NewLine,AvanChange,ObmenoFF,Top-Exchange,ExLine,El-Change,BestKurs24,Sunduk,E-Money,BitOkk,UniCash,AllCash,FastChange,Crypster,PayGet,FlashObmen,BazaObmena,CosmoChanger,Cryptonex,SwapCoin,AbcObmen,CoinPayMaster,Bitality,КэшБанк,WW-Pay,FastExchange,Об-мен,NiceChange,CryptoStrike,Монеткин,ОбменМонет,Pocket-Exchange,VV-Obmen,Platov,ExchangeKey,MultiChange,Tuco,BaksMan,EuroBit,RamonCash,Delets,4ange,OneMoment,CoinStart,TraiderIdeal,Wiki-Exchange,YChanger,CoinShop24,Момент,60сек,TipTopObmen,MagneticExchange,IziBTC,Банкомат,MChange,BlaBlaMoney,8Pay,Bixter,Ферма,Perfect-Change,AlfaChange,PayWallet,Ex-Money,RoyalCash,24PayBank,ProstoCash,Крипта,E-Obmen,TytCoin,GrandChange,MyCryptoMarket,Coin-Bank,RuChange,Xchange,HoBit,Сумма,Сова,BlaBlaChange,ExpoChange,Bchange,N-Change,Treddr,Bitcoff,ExHub,Belqi,Easy-Changer,MoneyMix,WMSell,Exch-em,BitBong,SwiftChange,Coin-Future,HASchange,Криптообменник,Obmen-Box,CryptoXchange,7Money,MyBTC,BtcChange24,ObmenGuru,PayBTC,E-Scrooge,CatBit,ExchangeTeam,ImExchanger,Crypto-Bank,Kursov24,BitBits,PushPayer,TytCash,PayFull,YoChange,Paytiz,Keine-Exchange
30-03-2022 00:47,4366001,4470000,4367245,4367240,4367240.0,4366978,4359254,4366934,4362390,4359254,4350142,4350563,4343252.0,4343252,4328570.0,4328150.0,4321207.0,4319938,4316900,4316730,4313858,4295937,4286781,4278422,4277915,4272779,4272686,4272674,4271604,4266157,4252778,4252729,4248170,4248158,4248146,4245100,4221394,4221026,4220454,4196994,4196994,4199641,4160253.0,4159043,4193403,4195590,4194285,4191386,4188884.0,4145195,4144152.0,4139470,4139470.0,4136614,4120775,4076206,4071457,4075800,4067508,4067508,4067508,4067508,4036236,4036236,4008426,4002763,3998926,3998042,3995696,3995653,3984722,3984063,3983268,3983268,3977326,3965676,3956611,3951277,3936703,3935897.0,3936747,3935896,3935896,3934720,3932243,3924320,3924091,3923274,3920736,3911921,3896087,3893483.0,3891990,3889292,3872174,3871715,3853035,3853035,3848894,3843734,3821146,3811604,3807175,3799313,3798163,3795813,3778012,3770174,3744275,3728743,3726913,3726267,3708544,3706031,3691694,3658333,3580257,3576000,3567660,3567660,3521591,3504422,3504422,3500140,3367013,3325812,3298289,3291759,3000000,2359810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 00:49,4366001,4470000,4367245,4367240,4367240.0,4363084,4359254,4363040,4362324,4350563,4350142,4341325,4328150.0,4343252,4322965.0,4328150.0,4321207.0,4317083,4311208,4316730,4313858,4295937,4283737,4275321,4271442,4253587,4270553,4270541,4271561,4266157,4247271,4252729,4248158,4248158,4248146,4233954,4220553,4221026,4220454,4196994,4196994,4144973,4160253.0,4159043,4157365,4189855,4194285,4158013,4186221.0,4141148,4144152.0,4139470,4139470.0,4136614,4120775,4070514,4067517,4068366,4062159,4062159,4062159,4062159,4036236,4032819,4007088,3997666,3993671,3994657,3994329,3994310,3956221,3984063,3983268,3983268,3973959,3965676,3953261,3947508,3936641,3935897.0,3936747,3932564,3932564,3929571,3932243,3919167,3924091,3923274,3917417,3911921,3895203,3891990.0,3891107,3889292,3872174,3871715,3849773,3849773,3841497,3843734,3817911,3811604,3803437,3794767,3793176,3795813,3777714,3766982,3743980,3725587,3723757,3724689,3708544,3706031,3687783,3658333,3577225,3576000,3567378,3567378,3518610,3503501,3504422,3498120,3365587,3325585,3297535,3291759,3000000,2359810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 00:50,4366010,4470000,4367245,4367240,4367240.0,4358949,4350302,4362085,4355361,4350563,4350142,4341325,4323703.0,4339981,4322965.0,4323703.0,4315500.0,4311818,4310362,4316730,4311707,4295937,4278360,4270381,4271442,4253330,4253442,4253430,4266657,4253611,4247271,4252729,4248158,4248158,4248146,4233954,4220553,4221026,4220454,4196994,4196994,4144973,4160253.0,4159043,4157365,4188743,4194285,4158013,4186221.0,4135950,4144152.0,4138475,4139470.0,4136605,4120775,4067326,4066233,4066642,4059843,4059843,4059843,4059843,4032819,4032819,4006881,3995163,3991397,3994657,3993429,3992916,3956221,3984063,3983268,3983268,3973959,3963954,3953261,3942159,3930290,3932204.0,3930403,3932564,3932564,3927352,3930535,3916938,3917768,3916953,3917417,3911921,3895203,3891107.0,3891107,3889210,3872105,3871715,3849773,3849773,3841497,3843665,3817911,3808377,3802176,3791311,3791019,3795813,3777714,3766982,3743980,3725587,3723757,3724649,3705404,3699000,3684667,3658333,3577225,3576000,3567378,3566286,3518610,3498698,3498542,3493500,3365552,3323165,3292892,3291759,3000000,2359810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 00:52,4366014,4470000,4367245,4367240,4367240.0,4358949,4341958,4359421,4355361,4350302,4350142,4341325,4323703.0,4339537,4322965.0,4323703.0,4315500.0,4309947,4309061,4316730,4311707,4289233,4277203,4268799,4271442,4253269,4253442,4253430,4266657,4253611,4247271,4252729,4248158,4248158,4248146,4233954,4220553,4221026,4220454,4192200,4194291,4144973,4154662.0,4153455,4157365,4188743,4194285,4150639,4186221.0,4134832,4138475.0,4137870,4137870.0,4136605,4120775,4066597,4064038,4065176,4057652,4057652,4057652,4057652,4028209,4028209,4006045,3995163,3989236,3990090,3993429,3992916,3956221,3984063,3974285,3983268,3969416,3961687,3948742,3939843,3930290,3930291.0,3928955,3928068,3928068,3925186,3926088,3914810,3916325,3915510,3912939,3910475,3888919,3889210.0,3886720,3884856,3867753,3864579,3845372,3845372,3836295,3839345,3813546,3804024,3799523,3791279,3788959,3795813,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3699000,3684006,3657716,3573136,3576000,3567378,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4061433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:05,4351000,4470000,4367245,4367240,4367240.0,4358949,4341958,4359421,4355361,4350302,4350142,4341325,4323703.0,4339537,4322965.0,4323703.0,4315500.0,4309947,4309061,4316730,4311707,4289233,4277203,4268799,4271442,4253269,4253442,4253430,4266657,4253611,4247271,3746796,4248005,4199395,4239209,4233954,4198859,4198864,4198320,4192200,4194291,4144973,4154662.0,4153455,4157365,4185017,4190366,4150639,4186221.0,4134832,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4064038,4065176,4057652,4057652,4057652,4057652,4028209,4028209,4005348,3995163,3989236,3990090,3992585,3992587,3937905,3984063,3970079,3970035,3969416,3959884,3948742,3886624,3930160,3926480.0,3928955,3928068,3928068,3925186,3926088,3914810,3916325,3915510,3912939,3908781,3888790,3884836.0,3886720,3884856,3867753,3864579,3845372,3845372,3836295,3839345,3813546,3804024,3799523,3791279,3788959,3791266,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3699000,3684006,3617325,3573136,3576000,3567378,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:06,4351000,4470000,4367245,4367240,4367240.0,4358949,4341958,4359421,4355361,4350302,4350142,4341325,4323703.0,4339537,4322965.0,4323703.0,4315500.0,4309947,4309061,4316730,4311707,4289233,4277203,4268799,4271442,4253269,4253442,4253430,4266657,4253611,4247271,3746796,4248005,4199395,4239209,4233954,4198563,4198864,4198320,4192200,4194291,4144973,4154662.0,4153455,4157365,4185017,4190366,4150639,4186221.0,4134832,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4064038,4065176,4057652,4057652,4057652,4057652,4028209,4028209,4005348,3995163,3989236,3990090,3992585,3992587,3937905,3984063,3970079,3970035,3969416,3959884,3948742,3886624,3930160,3926480.0,3928955,3928068,3928068,3925186,3926088,3914810,3916325,3915510,3912939,3908781,3888790,3884714.0,3885872,3884714,3865105,3864579,3845372,3845372,3834302,3836717,3813546,3804024,3799523,3791279,3788959,3788895,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3699000,3684006,3617325,3573136,3576000,3567378,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:08,4351000,4470000,4367245,4367240,4367240.0,4358949,4341958,4359421,4355361,4350302,4350142,4341325,4323703.0,4339537,4322965.0,4323703.0,4315500.0,4309947,4309061,4316730,4311707,4289233,4277203,4268799,4271442,4253269,4253442,4253430,4266657,4253611,4247271,3746796,4248005,4199395,4239209,4233954,4198563,4198771,4198320,4192200,4194291,4144973,4154662.0,4153455,4157365,4185017,4190366,4150639,4186221.0,4134832,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4064038,4065176,4057652,4057652,4057652,4057652,4028209,4028209,4005348,3995163,3989236,3990090,3992585,3992587,3910088,3984063,3970079,3970035,3969416,3959884,3948742,3885368,3930160,3926480.0,3928955,3928068,3928068,3925186,3926088,3914810,3916325,3915510,3912939,3908781,3888790,3875202.0,3885872,3884714,3865105,3864579,3845372,3845372,3834302,3836717,3813546,3804024,3799523,3791279,3788959,3788895,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3699000,3684006,3617325,3573136,3576000,3567378,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:09,4351000,4470000,4367245,4367240,4367240.0,4358949,4341958,4359421,4355361,4350302,4350142,4341325,4323703.0,4339537,4322965.0,4323703.0,4315500.0,4309947,4309061,4316730,4311707,4289233,4277203,4268799,4271442,4253269,4253442,4253430,4266657,4253611,4247271,3746796,4248005,4199395,4239209,4233954,4195375,4198771,4198320,4192200,4194291,4144973,4154662.0,4153455,4157365,4185017,4185635,4150639,4186221.0,4134832,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4064038,4065176,4057652,4057652,4057652,4057652,4028209,4028209,4005348,3995163,3989236,3990090,3992585,3992587,3910088,3984063,3970079,3970035,3969416,3959884,3948742,3885368,3930160,3923568.0,3928955,3928068,3928068,3925186,3926088,3914810,3916325,3915510,3912939,3908781,3888790,3875202.0,3885872,3884714,3865105,3864579,3845372,3845372,3834302,3836717,3813546,3804024,3799523,3791279,3788959,3788895,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3699000,3684006,3617325,3573136,3576000,3567378,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:11,4350555,4470000,4367245,4367240,4367240.0,4358949,4341958,4359421,4355361,4350302,4350142,4341325,4323703.0,4339537,4322965.0,4323703.0,4314265.0,4309947,4309061,4316730,4311707,4289233,4277203,4268799,4256696,4253269,4253442,4253430,4266657,4253611,4247271,3746796,4248005,4199395,4239209,4233954,4195375,4198771,4198320,4192200,4194291,4144973,4154662.0,4153455,4157365,4185017,4185635,4150639,4186221.0,4134832,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4064038,4065176,4057652,4057652,4057652,4057652,4028209,4028209,4005348,3995163,3988491,3990090,3992585,3992587,3910088,3984063,3970079,3970035,3969416,3959884,3948742,3885368,3930160,3923568.0,3928955,3928068,3928068,3925186,3926088,3914810,3916325,3915510,3912939,3908781,3888790,3875202.0,3885872,3884714,3865105,3864579,3845372,3845372,3834302,3836717,3813546,3804024,3799523,3791279,3788959,3788895,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3697942,3684006,3617325,3573136,3576000,3565638,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:12,4350555,4470000,4367245,4367240,4367240.0,4354201,4341958,4354071,4351932,4350302,4350142,4341325,4323703.0,4339537,4322807.0,4321816.0,4314265.0,4309687,4309061,4316730,4311707,4289233,4277203,4268507,4254891,4253269,4253442,4253430,4266657,4253611,4247116,3746796,4239329,4199395,4239209,4233954,4195375,4198771,4198320,4191000,4194291,4144973,4151077.0,4149869,4149063,4185017,4185635,4147049,4186221.0,4134832,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4064038,4065176,4056972,4056972,4056972,4056972,4028209,4028209,4004823,3995163,3984829,3990090,3992311,3992033,3910088,3984063,3970079,3970035,3969416,3959884,3948742,3885368,3930160,3918650.0,3928008,3928068,3928068,3925186,3926088,3914155,3915380,3914565,3912939,3903383,3888790,3875202.0,3885872,3884714,3865105,3864579,3845372,3845372,3834302,3836717,3813546,3804024,3799523,3791279,3788325,3786170,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3697942,3684006,3617325,3573136,3576000,3565638,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:14,4350555,4470000,4367245,4367240,4367240.0,4354201,4341958,4354071,4351932,4350302,4350142,4341325,4323703.0,4339537,4322379.0,4321816.0,4314265.0,4309687,4309061,4316730,4311707,4289233,4277203,4268507,4254891,4253269,4253442,4253430,4266657,4253611,4246696,3746796,4239329,4199395,4239209,4233954,4195375,4198771,4198320,4191000,4194291,4144973,4150343.0,4149135,4148331,4184900,4185635,4146319,4186221.0,4134832,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4063676,4065176,4056972,4056972,4056972,4056972,4028209,4028209,4004296,3995163,3984829,3990090,3991320,3991516,3910088,3984063,3970079,3970035,3969416,3959884,3948742,3885368,3928311,3918650.0,3928008,3928068,3928068,3925186,3926088,3914155,3915380,3914565,3912939,3903383,3888790,3875202.0,3885872,3884714,3864820,3864579,3845372,3845372,3834302,3836434,3813546,3804024,3799523,3791279,3788325,3786170,3777714,3762676,3743980,3721327,3719500,3720435,3701168,3697942,3684006,3617325,3573136,3576000,3565542,3561667,3514587,3498698,3498542,3493500,3361744,3322154,3292892,3291759,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 01:15,4350000,4470000,4367245,4367240,4367240.0,4354201,4341958,4354071,4351932,4347681,4350142,4341325,4323703.0,4339537,4320461.0,4320461.0,4314265.0,4309687,4309061,4316730,4311707,4289233,4276760,4268358,4254891,4253269,4253442,4253430,4266657,4253611,4244811,3746796,4239329,4199395,4239209,4233954,4195375,4198771,4198320,4191000,4194291,4144973,4150343.0,4149135,4148331,4184900,4185635,4146319,4186221.0,4134403,4138475.0,4110088,4110088.0,4114354,4109088,4066597,4063676,4065176,4056972,4056972,4056972,4056972,4028209,4028209,4003151,3993373,3984829,3990090,3990079,3990300,3910088,3984063,3970079,3970035,3969416,3959884,3948742,3884547,3928311,3918650.0,3927486,3928068,3928068,3925186,3926088,3914155,3914860,3914046,3912939,3903383,3886960,3875202.0,3885872,3884714,3864820,3864579,3845372,3845372,3832498,3836434,3813546,3804024,3799523,3790091,3788325,3786170,3774862,3762676,3741160,3721327,3719500,3720435,3701168,3697942,3683355,3617325,3573136,3576000,3564684,3561667,3514587,3496506,3496187,3493500,3361744,3321279,3291004,3290829,3000000,2359810.0,4028882.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30-03-2022 22:44,4273700,4308765,4233697,4057044,,4239642,4233439,4239430,4239600,3971172,4233439,4233282,,4231128,,,,4228723,4229710,4221435,4182544,4224007,4209557,4201434,4150331,4136770,4187988,4188000,4165097,4215887,3675628,3631200,4152368,4150368,4165097,4228486,4188192,4137401,4149019,4121385,4101384,4123436,,4122083,4120419,4051000,4187677,4120022,,4114542,,4137401,,4149019,3934579,4057044,4091978,4088944,3976870,3654327,3976870,3976870,4143944,3878374,3936858,3965419,3849848,3885360,3924378,3924282,3885303,3898616,4228922,3975636,3895171,3753742,3747999,3970219,3827085,,4221339,3747999,3747999,3809955,3697537,3780929,4212427,4217693,3787174,3852593,3945981,,3689130,3786765,3775973,3803761,3728376,3767622,3657836,3661431,3619676,3610637,3689257,3676360,3660157,3642744,3541267,3571391,3835200,3532145,3530411,3531922,3535984,3649825,3633850,3534519,3391487,3499952,3459667,3459667,3636285,3785955,3441777,3447057,3765393,3304278,3441197,3036142,4240000,,4149019.0,4239615.0,4239500.0,4233693.0,4233439.0,4228726.0,4228726.0,4228726.0,4220322.0,4208113.0,4207292.0,4205319.0,4168362.0,4150370.0,4120495.0,4099588.0,4000000.0,3998400.0,3890142.0,3833282.0,3827001.0,3749072.0,3649825.0,3640987.0,3630517.0,3598639.0,3594583.0,3556140.0,3484034.0,3449490.0,3316148.0
30-03-2022 22:46,4273700,4308765,4233697,4057044,,4239642,4233439,4239430,4239600,3971172,4233439,4233282,,4231128,,,,4228362,4225869,4221435,4182544,4221682,4208127,4201434,4149228,4136770,4187988,4188000,4165097,4215887,3675627,3631200,4150370,4114542,4165097,4228461,4188158,4137401,4149019,4121385,4101017,4119676,,4121531,4117271,4051000,4187677,4116874,,4114542,,4137401,,4148770,3934579,4057044,4090808,4088727,3976460,3653951,3976460,3976460,4137638,3877851,3936427,3965417,3849449,3884836,3924146,3924282,3885303,3894647,4228726,3975636,3894646,3752530,3747493,3961384,3827085,,4221339,3747493,3747493,3809955,3696343,3780534,4212427,4217693,3786664,3845343,3945981,,3689130,3784830,3774074,3803761,3727873,3767114,3656757,3659589,3619188,3610151,3687815,3674833,3659774,3642744,3541267,3570910,3835200,3531669,3529935,3530781,3535507,3647553,3633785,3534428,3391030,3499952,3459667,3459667,3635795,3785955,3441777,3445563,3764178,3303089,3441197,3036142,4225000,,4149019.0,4239615.0,4239500.0,4233439.0,4233439.0,4225869.0,4225869.0,4225869.0,4220322.0,4208113.0,4207292.0,4205319.0,4167245.0,4148773.0,4119942.0,4099559.0,4000000.0,3998400.0,3886440.0,3826068.0,3827001.0,3748094.0,3648243.0,3640865.0,3628653.0,3598639.0,3594583.0,3556140.0,3482282.0,3442998.0,3316148.0
